Elo	Username	W	L	T	Last update
1045	linoooone )	1	0	0	Wed Jun 08 2016 20:40:35 GMT-0400 (Eastern Daylight Time)
1000	MavrickHigh	0	1	0	Wed Jun 08 2016 20:40:35 GMT-0400 (Eastern Daylight Time)
