Elo	Username	W	L	T	Last update
1045	GymLeaderRayquazaG	1	0	0	Wed May 04 2016 16:37:54 GMT-0400 (Eastern Daylight Time)
1000	zellman01	0	1	0	Wed May 04 2016 16:37:54 GMT-0400 (Eastern Daylight Time)
