Elo	Username	W	L	T	Last update
1045	Mozilla_Foxer	1	0	0	Sun Apr 24 2016 08:39:25 GMT-0400 (Eastern Daylight Time)
1000	zellman01	0	1	0	Sun Apr 24 2016 08:39:25 GMT-0400 (Eastern Daylight Time)
