Elo	Username	W	L	T	Last update
1045	zellman01	1	0	0	Sat May 07 2016 10:33:15 GMT-0400 (Eastern Daylight Time)
1000	Elite4RayquazaG	0	1	0	Sat May 07 2016 10:33:15 GMT-0400 (Eastern Daylight Time)
