Elo	Username	W	L	T	Last update
1045	linoooone	1	0	0	Mon Jun 20 2016 09:14:00 GMT-0400 (Eastern Daylight Time)
1000	Rainy Thunder	0	1	0	Mon Jun 20 2016 09:14:00 GMT-0400 (Eastern Daylight Time)
