Elo	Username	W	L	T	Last update
1080.2835602905259	Elite4Mozilla	2	0	0	Sat May 07 2016 08:06:24 GMT-0400 (Eastern Daylight Time)
1045	shivamrustagi	1	0	0	Wed May 18 2016 16:44:13 GMT-0400 (Eastern Daylight Time)
1000	Elite4RayquazaG	0	2	0	Wed May 18 2016 16:44:13 GMT-0400 (Eastern Daylight Time)
1000	zellman01	0	1	0	Sat May 07 2016 07:56:33 GMT-0400 (Eastern Daylight Time)
